,articleID,publication_date,text,len_text,label
40,85289,1979-02-01,"We have seen a case of terminal malignant melanoma in which clinical manifestations, indicative of anterior spinal artery syndrome, developed following the injection of 0.3 ml of 10% phenol-glycerine into the cervical subarachnoid space at the C4--C5 level for the control of severe right arm pain.",46,1
41,85289,1979-02-01,Anterior spinal artery syndrome--a complication of cervical intrathecal phenol injection.,10,1
42,85289,1979-02-01,"However, nerve block by this procedure may in very rare instances give rise to serious complications.",16,0
43,91848,1979-11-24,Hepatic angiosarcoma associated with androgenic-anabolic steroids.,6,0
44,91848,1979-11-24,"A retrospective epidemiological study of deaths from hepatic angiosarcoma (HAS) in the U.S. showed that during 1964--74 there were 168 such cases, of which 37 (22%) were associated with previously known causes (vinyl chloride, 'Thorotrast', and inorganic arsenic) and 4 (3.1%) of the remaining 131 cases with the use of androgenic-anabolic steroids.",52,1
45,91848,1979-11-24,"It is suggested that the long-term use of androgenic-anabolic steroids is the fourth cause of HAS, the majority of cases still being of unknown aetiology.",25,0
46,91848,1979-11-24,"Moreover, the presented cases serve as a link in a spectrum of hepatic disorders recently recognised to be caused by environmental agents such as vinyl chloride, arsenic, and thorotrast, and by contraceptive and anabolic steroids.",35,0
47,91848,1979-11-24,"Similar precursor stages, usually not recognised by clinical laboratory tests and consisting of areas of hyperplasia of hepatocytes and sinusoidal cells and sinusoidal dilatation, lead potentially to hepatic adenoma, carcinoma, peliosis, and angiosarcoma.",33,0
48,95811,1979-04-01,"Coincidental with this treatment, the immunopathology of the glomerulonephritis improved dramatically, dramatically, renal function returned almost to normal, and both antinuclear antibody and LE cell preparation became negative.",28,0
49,95811,1979-04-01,"The course of this patient's renal disease contrasts sharply with diffuse proliferative glomerulonephritis of idiopathic systemic lupus, and suggests that this rare complication of procainamide therapy may have a favorable course.",31,0
50,95811,1979-04-01,"He was treated sequentially with prednisone and azathioprine (2 weeks), decreasing doses of prednisone alone (21 months), and no immunosuppressive drugs (10 months).",23,0
51,95811,1979-04-01,Glomerulonephritis in procainamide induced lupus erythematosus: report of a case and review of the literature.,15,1
52,95811,1979-04-01,"A 61-year-old man developed clinical lupus syndrome with positive antinuclear antibody, positive lupus erythematosus (LE) cell preparation, and diffuse proliferative glomerulonephritis following 26 months of procainamide therapy.",27,1
53,105227,1979-01-01,More accurate assessment of risk: benefit ratios awaits the results of prospective controlled studies.,14,0
54,105227,1979-01-01,Acute leukemia following prolonged cytotoxic agent therapy.,7,0
55,105227,1979-01-01,This evidence admonishes against the prolonged use of these drugs in non-fatal disorders.,13,0
56,105227,1979-01-01,"The leukemogenic potential in man of prolonged cytotoxic agents therapy, especially with alkylating agents, seems to be well established.",19,0
57,105227,1979-01-01,The results of these studies could also lead to significant modifications in recommendations for long-term maintenance therapy with cytotoxic agents.,20,0
58,105227,1979-01-01,Nine patients in whom acute non-lymphoblastic leukemia (ANLL) developed following prolonged alkylating agent therapy are described.,16,0
59,105227,1979-01-01,Five of the patients received no radiotherapy.,7,0
60,105227,1979-01-01,"At least half of the patients developing ANLL experienced long periods of significant cytopenia during therapy, often with documentation of bone marrow dysplasia.",23,0
61,105227,1979-01-01,The wide variety of drugs associated with this complication suggests that any cytotoxic agent may be leukemogenic.,17,0
62,105227,1979-01-01,"However, alkylating agents overwhelmingly predominate as the class of compounds which are most often associated with terminal ANLL.",18,0
63,105227,1979-01-01,The vast majority of patients reported in the literature with ANLL complicating underlying malignancies have received cytotoxic drugs for prolonged periods (median 3 1/2 years) and leukemia developed most commonly 3 to 5 years after the diagnosis of the underlying disease.,41,0
64,105227,1979-01-01,More than half of the patients developing ANLL have received chemotherapy alone without radiotherapy.,14,0
65,105227,1979-01-01,"The conditions treated were: Hodgkin's disease (four patients), primary amyloidosis, primary macroglobulinemia, malignant lymphoma, multiple myeloma, and carcinoma of the tonsil.",21,0
66,105227,1979-01-01,"Multiple myeloma and Hodgkin's disease, both of which commonly have good responses to chemotherapy, predominate as the underlying diseases.",19,0
67,105227,1979-01-01,"However, the medical literature now contains at least 125 other detailed reports of ANLL developing after prolonged cytotoxic agent therapy.",20,0
68,105227,1979-01-01,Most of these patients benefited from therapy and survived longer (median 5 years) than historical control of untreated patients.,19,0
69,105227,1979-01-01,"Prior to the advent of chemotherapy, this complication was not observed in large series of patients with lymphoproliferative disorders and multiple myeloma.",22,0
70,105227,1979-01-01,"However, 35% of the case reports involve patients with other illnesses, including 12 patients who did not have neoplasms.",19,0
71,110153,1979-07-01,The patients who developed neurotoxicity had markedly higher global ratings of psychotic symptomatology and anxiety in the pretoxic period than did patients who never deveoped neurotoxicity.,26,0
72,110153,1979-07-01,In all cases lithium levels were between .75 and 1.7 mEq/liter.,11,0
73,110153,1979-07-01,Paradoxical lithium neurotoxicity: a report of five cases and a hypothesis about risk for neurotoxicity.,15,0
74,110153,1979-07-01,The authors report on five patients who developed clinical syndromes suggestive of severe neurotoxicity during lithium treatment.,17,0
75,110153,1979-07-01,There have been many reports of probable lithium-induced organic brain syndromes occurring when serum lithium levels are within or close to the therapeutic range.,24,1
76,110153,1979-07-01,"When the acute manic state is characterized by marked psychotic symptoms and intense anxiety, it may be associated with increased vulnerability to the development of severe lithium neurotoxicity.",28,1
77,115078,1979-08-01,Hepatotoxicity in rheumatoid arthritis is well described following a variety of anti-inflammatory preparations but is now a rare complication of gold therapy and the literature on the subject is reviewed.,30,0
78,115078,1979-08-01,A patient with rheumatoid arthritis developed an acute intrahepatic cholestasis after 100 mg of sodium aurothiomalate.,16,1
79,115078,1979-08-01,Cholestatic hepatitis induced by gold.,5,0
80,122410,1978-09-01,Indirect assessment of endogenous TRH reserve capacity was consistent with impairment of endogenous TRH activity.,15,0
81,122410,1978-09-01,"At this time, the TSH response to TRH was normal and the patient was considered fully recovered.",17,0
82,122410,1978-09-01,Transient TRH deficiency after prolonged thyroid hormone therapy.,8,0
83,122410,1978-09-01,A patient who had been treated with large doses of thyroid hormone for several years developed features of secondary hypothyroidism after thyroid hormone withdrawal.,24,1
84,122410,1978-09-01,"These findings were low serum T4 (3.8 micrograms/dl), T3 (23 ng/dl), and a failure of serum TSH to rise after TRH injection.",22,0
85,122410,1978-09-01,"Serum PRL values rose normally after TRH administration, and evaluation of other pituitary hormones was normal.",16,0
86,122410,1978-09-01,"When retested 3 months later, at which time the serum T4 was 5.5 micrograms/dl, the patient was somewhat less hypothyroid and there was an exaggerated TSH response to exogenous TRH, indicating recovery of pituitary TSH reserve.",36,0
87,122410,1978-09-01,A causal relationship between high doses of thyroid hormone and the presumptive impairment of endogenous TRH reserve is suggested.,19,0
88,122410,1978-09-01,Repeat studies performed 7 months later indicated some improvements in this indirect assessment of endogenous TRH reserve capacity but a continued exaggerated TSH response to exogenous TRH administration.,28,0
89,122410,1978-09-01,Further testing at 28 months revealed a serum T4 value of 7.8 micrograms/dl and a serum T3 value of 141 ng/dl.,21,0
90,129501,1976-01-01,Anaphylaxis after the injection of chymopapain occurs in about 1% of such cases.,13,1
91,129501,1976-01-01,Both patients suddenly became hypotensive after injection of chymopapain into a disk.,12,1
92,129501,1976-01-01,The two cases described in this paper are the only known deaths due to anaphylaxis.,15,0
93,129501,1976-01-01,Two anaphylactic deaths after chemonucleolysis.,5,0
94,129501,1976-01-01,Chemonucleolysis is a procedure for treatment of low back pain due to discogenic disease in which the drug chymopapain is injected into lumbar disks to produce chemical dissolution of the nucleus pulposus.,32,0
95,129501,1976-01-01,"One patient died shortly after this, whereas the second patient died of the complications of prolonged shock.",17,0
96,129501,1976-01-01,"More than 15,000 cases have been treated by chemonucleolysis world-wide.",10,0
97,132414,1976-06-15,Drug eruption associated with sulfonamide treatment of vertebral osteomyelitis in a dog.,12,0
98,132414,1976-06-15,Drug eruption was diagnosed in a 4-year-old German Shepherd Dog being treated with sulfonamides for vertebral osteomyelitis due to infection with Nocardia spp.,23,0
99,132414,1976-06-15,"Diagnosis was based on a history of repeated exposure to sulfonamides, skin biopsy findingd, and clinical recovery on cessation of sulfonamide therapy.",22,0
100,132414,1976-06-15,"The eruption was characterized by generalized, pruritic, eczematous dermatitis.",9,0
101,138687,1977-03-01,At five years of age elevated serum and urinary androgen levels unsuppressible with dexamethasone were noted.,16,0
102,138687,1977-03-01,"Virilizing adrenal tumor in a child suppressed with dexamethasone for three years. Effect of o,p'-DDD on serum and urinary androgens.",20,0
103,138687,1977-03-01,"At the age of 14 months a diagnosis of congenital adrenal hyperplasia was made and treatment with dexamethasone (0.125 to 0.25 mg/day) resulted in a fall-off in growth rate, normal advancement in bone age, decrease in virilization and suppression of 17- ketosteroid excretion which continued until 4 3/12 years of age when virilization increased.",54,0
104,138687,1977-03-01,"Following removal of a large right adrenal carcinoma, serum and urinary hormone levels returned to normal.",16,0
105,138687,1977-03-01,"There months following surgery, liver metastases were documented associated with elevated levels of serum androgens.",15,0
106,138687,1977-03-01,"Extensive hormonal evaluation was performed in a girl with adrenal carcinoma during the primary tumor stage, following adrenalectomy, during the period when metastases were evident and while on treatment with o,p'-DDD.",31,0
107,138687,1977-03-01,"With o,p'-DDD treatment, serum dehydroepiandrosterone sulfate (DS) and urinary 17-ketosteroid (17-KS) excretion fell rapidly while there was a delay in the fall of free androgens.",25,0
108,138687,1977-03-01,"The persistence of free steroid secretion with decreased formation of DS suggests that the o,p'-DDD may have altered sulfatase activity before causing tumor necrosis and total decrease in steroidogenesis.",29,0
109,150825,1975-05-01,It is important to consider possible cross-sensitivity of chemically related compounds even when they are administered by different routes.,19,0
110,150825,1975-05-01,A second episode of jaundice followed the intravaginal administration of a mixture of furazolidone and nifuroxime.,16,1
111,150825,1975-05-01,A patient developed cholestatic hepatitis while being treated with nitrofurantoin.,10,1
112,150825,1975-05-01,Cholestatic hepatitis after administration of furan derivatives.,7,0
113,156343,1979-07-01,The process worsened during the two weeks following steroid cessation.,10,0
114,156343,1979-07-01,Fluorinated topical steroids have been implicated as the cause or precipitating factor in previous case reports mainly involving an adult population.,21,0
115,156343,1979-07-01,Steroid rosacea is a facial dermatitis clinically resembling acne rosacea.,10,0
116,156343,1979-07-01,Steroid rosacea in children.,4,0
117,156343,1979-07-01,We recommend that fluorinated glucocorticosteroids should not be used on the face of infants and children.,16,0
118,156343,1979-07-01,Four cases of pediatric acne rosacea associated with the use of topical fluorinated glucocorticosteroids are described.,16,0
119,160443,1979-12-01,Five personal observations of an acute amnestic episode in younger individuals after intake of clioquinol are described together with three observations from the medical literature.,25,1
120,160443,1979-12-01,"In five of these cases the episode began after an unusually large dose, in three after a therapeutic one with a latency of about 24 hours.",26,0
121,160443,1979-12-01,The clinical aspect closely resembled classical transient global amnesia but the episode after clioquinol lasted longer (24 hours to three days) and a more or less extensive retrograde amnesia persisted permanently.,31,1
122,160443,1979-12-01,"Another patient had a brief relapse two years after the first episode, after a single therapeutic dose of another clioquinol preparation.",21,0
123,160443,1979-12-01,Transient global amnesia after clioquinol: five personal observations from outside Japan.,11,1
124,160443,1979-12-01,"In one patient after three tablets of Mexase a clioquinol concentration of 12 microgram/ml in plasma was found 24 hours after the specified dose, which is an unexpectedly high concentration compared to those reported as late as 24 hours after a single equal dose of Mexase or any other clioquinol-containing preparation.",51,0
125,172214,1975-11-01,"Thus, even after a long hiatus, it may not be safe to exceed the recommended maximum cumulative dose level of adriamycin.",21,0
126,172214,1975-11-01,Cardiomyopathy after widely separated courses of adriamycin exacerbated by actinomycin-D and mithramycin.,12,1
127,172214,1975-11-01,"The pathogenic mechanisms involved in the development of adriamycin cardiomyopathy are reviewed, and the possible synergistic effect of other antitumor antibiotics is discussed.",23,1
128,172214,1975-11-01,Exacerbations of the heart failure were temporally related to the administration of the antitumor antibiotics actinomycin-D (NSC-3053) and mithramycin (NSC-24559).,20,1
129,172214,1975-11-01,"Ten weeks later, severe congestive heart failure developed which ultimately caused the patient's death.",14,0
130,172214,1975-11-01,"Because of tumor progression, therapy was discontinued after a cumulative dose of adriamycin of 120 mg/m2.",16,0
131,172214,1975-11-01,"Relapse occurred 13 1/2 months later, and therapy with adriamycin was restarted.",12,0
132,172214,1975-11-01,Electron microscopic examination of the heart revealed changes characteristic of adriamycin cardiomyopathy.,12,0
133,172214,1975-11-01,Therapy was discontinued at a cumulative dose of adriamycin of 600 mg/m2.,12,0
134,172214,1975-11-01,A 22-year-old man with a synovial cell sarcoma attained an excellent response to therapy with adriamycin (NSC-123127) and dimethyltriazeno imidazole carboxamide (NSC-45388).,22,0
135,180258,1976-04-01,Two patients are described who developed sensory neuropathy after the ingestion of 30.6 and 114 g metronidazole respectively.,18,1
136,180258,1976-04-01,"The drug, widely used in gastroenterological and gynaecological practice, has not hitherto been considered neurotoxic.",15,0
137,180258,1976-04-01,The implications are stressed in relation to the differential diagnosis of patients with gastroenterological disorders who develop peripheral neuropathy.,19,0
138,189279,1976-10-26,A case of congestive heart failure in a child with Wilms' tumor treated Adriamycin is presented and discussed.,18,1
139,189279,1976-10-26,Radiologic recognition of adriamycin cardiotoxicity.,5,1
140,189279,1976-10-26,The role of Adriamycin in the production of cardiotoxicity is reviewed.,11,1
141,199056,1977-10-01,"Two months before his death, severe varicella developed complicated by pneumonia, jaundice, and prolonged fever; all of which resolved during a five-week hospitalization.",23,0
142,199056,1977-10-01,For treatment of this condition he was given androgens and corticosteroids.,11,0
143,199056,1977-10-01,We report the case of a 13-year-old boy who was known to have Fanconi's anemia for five years.,18,0
144,199056,1977-10-01,Three weeks later he died of Clostridium septicum sepsis caused by necrotizing enterocolitis.,13,0
145,199056,1977-10-01,Multiple hepatic tumors and peliosis hepatis in Fanconi's anemia treated with androgens.,12,0
146,199056,1977-10-01,At autopsy he was found to have multiple hepatocellular neoplasms.,10,0
147,199056,1977-10-01,A striking feature of the neoplasms was cholestasis.,8,0
148,199056,1977-10-01,The liver also showed peliosis hepatis.,6,0
149,199056,1977-10-01,"The association of the use of certain androgenic steroids with hepatic neoplasms histologically resembling hepatocarcinomas, but characterized by lack of metastases and apparent reversibility, suggests the desirability of a new nomenclature for these hepatocellular lesions.",35,0
150,207962,1978-01-01,A case of hepatocellular carcinoma in a 28-year-old female is presented in which the apparent etiology was use of oral contraceptives (OCs) for 5.5 years.,25,0
151,207962,1978-01-01,The adverse effects of oral contraceptives on the structure and function of hepatic tissue are reviewed.,16,0
152,207962,1978-01-01,"Sequential therapeutic trials with intraarterial 5-fluorouracil, intraarterial adriamycin, and intravenous 1,3 bis[2-chloroethyl]-1-nitrosourea (BCNU) were unsuccesful.",15,0
153,207962,1978-01-01,A case of hepatocellular carcinoma in a young female is presented in which the apparent etiology was the use of oral contraceptives for 5 1/2 years.,26,0
154,207962,1978-01-01,The total calculated dose from April 1969 to May 1975 was 1365 mg of norethindrone and 68 mg of mestranol.,20,0
155,207962,1978-01-01,"Data on the hepatocellular carcinoma development after exposure to androgenic anabolic steroids are reviewed, and mention of mestranol as a previously postulated causative agent is emphasized.",26,0
156,207962,1978-01-01,"The patient's medical history was nonrevealing, except that she had been taking Norinyl 1/50 regularly from age 22.5-25, stopped for several months, and then restarted and continued use for the 3 years preceding illness.",34,0
157,207962,1978-01-01,"In an attempt to relate the hepatic carcinogenicity of androgens to OCs, however, another report cited suggests that the progestational agents derived from 19-nortestosterone have androgenic activity and thus are highly suspect.",32,0
158,207962,1978-01-01,Hepatocellular carcinoma in a young woman with prolonged exposure to oral contraceptives.,12,0
159,207962,1978-01-01,Modulation of androgenic activity by the estrogenic compound may be a complex interaction yielding a final end point through a spectrum of minor and benign hepatic changes into a final phase of malignant transformation.,34,0
160,217320,1979-03-01,A few round Russell bodies were seen in the first biopsy specimen and none in the third.,17,0
161,217320,1979-03-01,"Biopsy specimens of the upper tarsal conjunctiva in soft contact lens-associated giant papillary conjunctivitis were taken during (1) chronic exacerbation, (2) brief remission, and (3) intentional exacerbation.",27,0
162,217320,1979-03-01,The most remarkable feature was the presence of diamond-shaped Russell bodies in 20% of the plasma cells of the second biopsy specimen.,22,0
163,217320,1979-03-01,Specimens were evaluated by light and electron microscopy.,8,0
164,217320,1979-03-01,Russell bodies in contact-lens-associated giant papillary conjunctivitis.,7,0
165,217320,1979-03-01,Inflammatory cells were quantitated and compared with inflammatory cells in normal upper tarsal conjunctivae.,14,0
166,217320,1979-03-01,"We concluded that the brief quiescent phase (second biopsy specimen) was characterized by retention of immunoglobulin to produce Russell bodies, and that the active phases of the disease were marked by migration of mast cells into the epithelium and by the presence of eosinophils and basophils in the substantia propria.",50,0
167,228648,1979-08-01,Serology showed that maternal CMV infection had been acquired at least four months before pregnancy.,15,0
168,228648,1979-08-01,Maternal immunosuppression and cytomegalovirus infection of the fetus.,8,0
169,228648,1979-08-01,Prenatal cytomegalovirus (CMV) infection associated with severe brain damage was detected in an infant whose mother had been treated with prednisolone and azathioprine for systemic lupus erythematosus (SLE).,28,1
170,228648,1979-08-01,Screening for CMV infection in pregnant women receiving immunosuppressive drugs is recommended.,12,0
171,264771,1977-02-01,"One child was briefly treated with imipramine, with similar results.",10,0
172,264771,1977-02-01,"The authors treated two children with Gilles de la Tourette's disease and one child with a probable combination of Gilles de la Tourette's disease and minimal brain dysfunction with methylphenidate, which resulted in exacerbation of symptoms.",36,0
173,264771,1977-02-01,The authors suggest that these pharmacologic agents should be used cautiously in treating patients with possible movement disorders (tics) and conclude that their findings lend support to the catecholamine hypothesis of the etiology of Gilles de la Tourette's disease.,39,0
174,264771,1977-02-01,The use of methylphenidate and imipramine in Gilles de la Tourette's disease in children.,14,0
175,267281,1977-05-01,Portal hypertension in a patient with chronic myeloid leukaemia.,9,0
176,267281,1977-05-01,"A patient with chronic myeloid leukaemia treated with busulphan for 4-5 years, developed signs of busulphan toxicity and portal hypertension with ascites, oesophageal varices and jaundice.",26,1
177,267281,1977-05-01,The pathogenesis of the liver changes and their possible relationship to splenomegaly and busulphan toxicity are considered.,17,0
178,267281,1977-05-01,At post-mortem there was minimal leukaemic infiltration but there were alterations in the liver architecture sufficient to explain the portal hypertension.,21,0
179,272429,1978-03-01,"Therefore, preventive measures should be taken against colonization by Candida of the palatal mucosa and the dentures.",17,0
180,272429,1978-03-01,Clinical aspects of Candida infection in denture wearers.,8,0
181,272429,1978-03-01,"In healthy persons, Candida-induced denture stomatitis is not serious; however, it should be considered a possible spearhead of systemic yeast infections in seriously ill patients, especially in those subjected to prolonged treatment with antibiotics, corticosteroids, or immunosuppressive drugs.",38,0
182,272429,1978-03-01,"Candida-induced denture stomatitis usually does not reflect any deep-seated, systemic abnormality, the dentures being the primary predisposing condition.",18,0
183,272429,1978-03-01,"However, infection with C albicans should be recognized as an extremely common complication to the wearing of dentures.",18,0
184,272429,1978-03-01,"Most cases are treated relatively easily, but recurrences are frequent and the infection often spreads to other parts of the oral mucosa.",22,0
185,278642,1978-08-01,Patients who have breast cancer (or any other solid tumor malignancy) are at risk to develop a second malignancy.,19,0
186,278642,1978-08-01,Acute myelogenous leukemia in patients receiving chlorambucil as long-term adjuvant chemotherapy for stage II breast cancer.,16,1
187,278642,1978-08-01,This may be related to the dose and duration of therapy with these agents.,14,0
188,278642,1978-08-01,Each of these was subsequently reviewed by the hematologist who treated the patients for AML.,15,0
189,278642,1978-08-01,"In all three patients, the diagnosis of AML was established by pathologists on the basis of bone marrow biopsy, aspirate, and peripheral smears.",23,0
190,278642,1978-08-01,"However, an increasing number of reports are appearing suggesting more than just a casual relationship between leukemia and the use of alkylating agents.",23,0
191,278642,1978-08-01,"After the chlorambucil was discontinued, the wbc count began to slowly rise and the patient developed clinical AML.",18,1
192,278642,1978-08-01,"All three patients (and possibly a fourth) who developed AML were postmenopausal, received continuous chlorambucil for greater than or equal to 4 years, had acute red cell anemia at the time of treatment, and had a wbc count in the range of 2700-7700/mm3.",43,0
193,278642,1978-08-01,At least three of these patients developed acute myelogenous leukemia (AML).,11,0
194,278642,1978-08-01,Thirteen consecutive stage II breast cancer patients were treated with long-term adjuvant chemotherapy using chlorambucil.,15,0
195,282937,1979-01-01,Paraplegia following prophylactic intrathecal cytosine arabinoside (Ara-C) is described in a patient with acute myelogenous leukemia in remission who received doses of 100 mg/m2/d for 5 consecutive days.,28,1
196,282937,1979-01-01,Paraplegia following intrathecal cytosine arabinoside.,5,1
197,282937,1979-01-01,"Administration of intrathecal Ara-C in the same dose over longer intervals within 3-5 days between consecutive doses resulted in mild, transient neurological symptoms (paresthesias) in only one of 30 patients so treated.",32,1
198,282937,1979-01-01,The neurological manifestations developed within one week after the last dose of Ara-C and persisted for over 8 weeks.,19,0
199,282937,1979-01-01,Cerebrospinal fluid examination prior to the last dosage of cytosine arabinoside revealed a mononuclear pleocytosis and increased protein.,18,0
200,286907,1979-03-28,Pregancy complicated by acute myeloid leukaemia.,6,0
201,286907,1979-03-28,Combination cytotoxic chemotherapy was used to treat a case of acute myeloid leukaemia presenting in the 25th week of pregnancy with a sustained complete remission of the leukaemia and the successful delivery of a normal infant.,36,0
202,286907,1979-03-28,The management of leukaemia presenting in pregnancy is discussed.,9,0
203,289904,1979-01-01,L-asparaginase was given subcutaneously on alternate days for four weeks and was well tolerated.,14,0
204,289904,1979-01-01,We conclude that prolonged l-asparaginase therapy in combination with an anthracycline might well be used in initial or consolidation therapy for childhood ALL.,23,0
205,289904,1979-01-01,Remission was achieved without hospitalisation in over 60% of patients.,10,0
206,289904,1979-01-01,"The median duration of subsequent remission was only 13 weeks, but six out of eight children receiving a second course of the drug combination achieved a further remission.",28,0
207,289904,1979-01-01,A complete remission was achieved in 96% of children in relapse and in five out of six children resistant to induction.,21,0
208,289904,1979-01-01,"Thirty-four children with acute lymphoblastic leukaemia (ALL) in relapse or resistant to initial induction received combination chemotherapy with prednisolone, vincristine, l-asparaginase, and daunorubicin.",23,0
209,289904,1979-01-01,Combination chemotherapy for bone marrow relapse in childhood lymphoblastic leukaemia (ALL).,11,0
210,296784,1979-01-01,"The clinical course of a 69-year-old male with acute myelogenous leukemia is described who, while extremely leukopenic (less than 100 neutrophils/microliter) from chemotherapy, developed a cavitating pneumonia due to a gram-positive coccus, Micrococcus luteus.",34,0
211,296784,1979-01-01,"A review of the literature regarding the pathogenicity of this organism and, in particular, its occurrence as a cause of pneumonia is presented.",23,0
212,296784,1979-01-01,Micrococcus luteus pneumonia: a case report and review of the literature.,11,0
213,296784,1979-01-01,Aggressive antibiotic management and attainment of complete remission of his leukemia resulted in a successful outcome.,16,0
214,309011,1978-11-10,The first is a case of disseminated candidiasis with stomach wall involvement.,12,0
215,309011,1978-11-10,The patient had Hodgkin's disease and responded to chemotherapy and amphotericin B.,12,0
216,309011,1978-11-10,The second is a case of superficial invasion of Candida in a stitch ulcer.,14,0
217,309011,1978-11-10,Two cases of candidiasis occured in the stomach.,8,0
218,309011,1978-11-10,Systemic and local factors influence growth of Candida in the stomach.,11,0
219,319933,1977-01-01,"Chymopapain--past and present, future?",4,0
220,319933,1977-01-01,"Clinical experience with Chymopapain casts doubts upon the reported results of the limited double blind studies done mainly by surgeons and their residents, relatively inexperienced in the disc injection technique.",30,0
